iter	Logloss
0	0.6849269294
1	0.6802314802
2	0.6735354021
3	0.6683374811
4	0.6650353163
5	0.6620877149
6	0.6591267518
7	0.6554997587
8	0.6528508054
9	0.650371613
10	0.6483706801
11	0.6463844251
12	0.6444902392
13	0.6427053134
14	0.6409462612
15	0.6395446526
16	0.6382871509
17	0.6369529677
18	0.6359983103
19	0.6347689665
20	0.63374935
21	0.6320437847
22	0.6306082888
23	0.6297467003
24	0.6288821365
25	0.6279026503
26	0.6267579477
27	0.6260107657
28	0.6250796178
29	0.6244404153
30	0.6239624132
31	0.6234180885
32	0.6225752688
33	0.621547345
34	0.6206645567
35	0.6199115744
36	0.6192331264
37	0.6181829706
38	0.6176408901
39	0.6171338124
40	0.6162631298
41	0.6156643783
42	0.615134409
43	0.6148406696
44	0.6140673662
45	0.6133768875
46	0.6126915864
47	0.6120512453
48	0.6113404721
49	0.6108189384
50	0.610361924
51	0.6095346623
52	0.6092055822
53	0.6087754673
54	0.6083181671
55	0.6078085281
56	0.6069663277
57	0.6063529396
58	0.6056802615
59	0.6050897176
60	0.6043930596
61	0.6039543561
62	0.6032607718
63	0.6027775314
64	0.6022388305
65	0.6018172044
66	0.6012093581
67	0.6004749733
68	0.600008267
69	0.5994405792
70	0.5988606327
71	0.5981311585
72	0.5974756781
73	0.5968665772
74	0.5962586218
75	0.5955772137
76	0.5950478335
77	0.5943593962
78	0.5937808049
79	0.5932118661
80	0.592901041
81	0.5922205086
82	0.591755199
83	0.5913083362
84	0.590745911
85	0.590062867
86	0.5895602316
87	0.5891773086
88	0.588609078
89	0.5882019612
90	0.5875811782
91	0.5873739721
92	0.5868468982
93	0.5862409806
94	0.5859182642
95	0.5853796156
96	0.5848899417
97	0.5843861608
98	0.5838976143
99	0.5832151701
100	0.5828038177
101	0.5821550835
102	0.5815959467
103	0.5811971761
104	0.5806144092
105	0.5801218021
106	0.5794556923
107	0.5790525912
108	0.5787002285
109	0.5780057343
110	0.5776360871
111	0.5772995996
112	0.5767924996
113	0.5763802238
114	0.5759520898
115	0.5755516033
116	0.5752001052
117	0.5748559988
118	0.5744155667
119	0.5741124449
120	0.5735876468
121	0.573100808
122	0.5726016741
123	0.5722992323
124	0.5718699821
125	0.5715296272
126	0.5711615108
127	0.570601634
128	0.5700187205
129	0.5696866647
130	0.5691204352
131	0.5687808267
132	0.5682253373
133	0.5678352544
134	0.5674862295
135	0.5668433095
136	0.5663479539
137	0.5659603056
138	0.5655356752
139	0.5649077284
140	0.5643526718
141	0.5637298729
142	0.5632214261
143	0.5628676584
144	0.5624508467
145	0.5620527995
146	0.5614335595
147	0.5611147646
148	0.5606176635
149	0.5601589273
150	0.5599096848
151	0.5594876826
152	0.5590439599
153	0.5583988558
154	0.5578480861
155	0.5573438724
156	0.556756604
157	0.5564152908
158	0.5561014591
159	0.5556310115
160	0.5553098475
161	0.5545789239
162	0.5540530131
163	0.5535392586
164	0.553111618
165	0.552643705
166	0.5520236177
167	0.5513909725
168	0.5506988943
169	0.5501762429
170	0.5497086469
171	0.5490680684
172	0.5485858277
173	0.5482129083
174	0.5476789767
175	0.547207149
176	0.5466916151
177	0.546262983
178	0.5455198188
179	0.5448324486
180	0.5442233827
181	0.5436455516
182	0.5433368252
183	0.5427697185
184	0.5422884143
185	0.5419193671
186	0.5415688069
187	0.5410841133
188	0.5406062179
189	0.5400855032
190	0.539663697
191	0.5390712003
192	0.5386395749
193	0.5378726274
194	0.5373787807
195	0.5370109252
196	0.536490542
197	0.5359677675
198	0.5354848433
199	0.5346199084
200	0.5341408145
201	0.533701916
202	0.5330599816
203	0.532618175
204	0.5319618409
205	0.5313340198
206	0.5310268563
207	0.5303393476
208	0.5300247335
209	0.5293209975
210	0.5288147638
211	0.5279923676
212	0.5273364614
213	0.5267275904
214	0.5263867072
215	0.5260171472
216	0.5253467175
217	0.5247208363
218	0.5242436993
219	0.52389688
220	0.5233178961
221	0.5230465772
222	0.5225553932
223	0.5221075068
224	0.5215543938
225	0.5209815823
226	0.5205121586
227	0.5199169003
228	0.5195337992
229	0.5190232846
230	0.5184151451
231	0.5177763127
232	0.5173439199
233	0.5166878495
234	0.5160029743
235	0.5153943482
236	0.5149781733
237	0.5144385222
238	0.5138784322
239	0.513331912
240	0.5127608907
241	0.5124930848
242	0.5118957922
243	0.5114662472
244	0.5110664013
245	0.5107440348
246	0.510447285
247	0.5099263362
248	0.5095851788
249	0.5090895712
250	0.5087187589
251	0.508159748
252	0.5076664352
253	0.5074151191
254	0.5067510597
255	0.5062466669
256	0.5056661989
257	0.5052339077
258	0.5049048594
259	0.5042890233
260	0.5036722215
261	0.5033466059
262	0.5030857101
263	0.5027625089
264	0.5021859016
265	0.5018221003
266	0.5014767636
267	0.501182924
268	0.5006541737
269	0.5001093648
270	0.4995924936
271	0.4988688404
272	0.4984054305
273	0.4978724685
274	0.4973263486
275	0.4966404309
276	0.4961187042
277	0.4956229041
278	0.4953326935
279	0.4950709025
280	0.4945239986
281	0.4940116191
282	0.4936248935
283	0.4929834235
284	0.492442627
285	0.4918296909
286	0.491425218
287	0.4907983688
288	0.4904608506
289	0.4898639843
290	0.4892421967
291	0.4888651229
292	0.4884655557
293	0.4880764528
294	0.4877447871
295	0.4870751292
296	0.4867133669
297	0.4863002694
298	0.4857707435
299	0.4853286116
300	0.4849116796
301	0.4845838883
302	0.4841746397
303	0.4835939663
304	0.4831411302
305	0.4827392117
306	0.4821712956
307	0.4817646331
308	0.481276081
309	0.4808573944
310	0.4803792773
311	0.4799595147
312	0.4794341333
313	0.4791076793
314	0.478823585
315	0.4785048054
