iter	Logloss
316	0.4781606559
317	0.4776048159
318	0.4771860135
319	0.4766574121
320	0.4764525298
321	0.4763156647
322	0.475884948
323	0.4756959151
324	0.4754252026
325	0.4748785478
326	0.47448654
327	0.4741397714
328	0.4737043989
329	0.4731449921
330	0.4727318204
331	0.4722795349
332	0.4716959701
333	0.4713868503
334	0.4709534865
335	0.4707161241
336	0.4703863133
337	0.4699919665
338	0.4695585725
339	0.4689279393
340	0.4685237656
341	0.4683804622
342	0.4680230841
343	0.4676369004
344	0.4671438006
345	0.4667204385
346	0.4663500487
347	0.4658923139
348	0.4655326786
349	0.4653143241
350	0.4647647651
351	0.4644783606
352	0.4640851862
353	0.463811078
354	0.4634855388
355	0.4633120361
356	0.4628501635
357	0.4626307823
358	0.46222896
359	0.4618376402
360	0.4613088788
361	0.4610577448
362	0.4606448041
363	0.4602607658
364	0.4596801765
365	0.4592477888
366	0.4588122339
367	0.4583860002
368	0.4579583673
369	0.4576431047
370	0.4573603816
371	0.4570079194
372	0.4567106647
373	0.4562979493
374	0.4559695457
375	0.4555029638
376	0.4551901088
377	0.4548953448
378	0.4545004353
379	0.4540516491
380	0.4535923753
381	0.4531326594
382	0.4530335356
383	0.4527550468
384	0.4523956157
385	0.4521504687
386	0.4517512242
387	0.4513256768
388	0.4511208746
389	0.450834546
390	0.4504516779
391	0.4499844408
392	0.4496037565
393	0.4492374163
394	0.4488795897
395	0.4485133038
396	0.4482012824
397	0.4478471423
398	0.4475456126
399	0.4472115292
400	0.4469257969
401	0.4465621695
402	0.4460535825
403	0.445597977
404	0.4455007755
405	0.4452730754
406	0.4449530599
407	0.4445578482
408	0.4442746999
409	0.4438157888
410	0.4434738434
411	0.4430117981
412	0.4425406926
413	0.4421162453
414	0.441695481
415	0.4414182771
416	0.4408880371
417	0.4404849798
418	0.4403247605
419	0.439883037
420	0.4395453787
421	0.4391369003
422	0.4387015986
423	0.4383757209
424	0.4380243633
425	0.4375425304
426	0.4373829805
427	0.4371508366
428	0.4367390919
429	0.4362795528
430	0.4358249518
431	0.4354924534
432	0.4350617579
433	0.4348010724
434	0.4343303194
435	0.434130001
436	0.43360104
437	0.4330840738
438	0.4328464697
439	0.4324917247
440	0.4322986143
441	0.4319534395
442	0.4315079668
443	0.4311052341
444	0.4307306866
445	0.4304799193
446	0.430138233
447	0.4298793923
448	0.429611833
449	0.4292438849
450	0.4289526922
451	0.4286538827
452	0.4283001171
453	0.4276938892
454	0.4273971148
455	0.4270032029
456	0.4267503336
457	0.4262722094
458	0.4260009378
459	0.4255420731
460	0.4253205136
461	0.4250425201
462	0.4247032418
463	0.4243543291
464	0.4239675797
465	0.4236581059
466	0.4233309589
467	0.4229849744
468	0.4226853442
469	0.4224068461
470	0.4220052144
471	0.4217067167
472	0.42144532
473	0.421092028
474	0.4207294585
475	0.4204067144
476	0.4199160477
477	0.4195484017
478	0.4191727988
479	0.4188669239
480	0.4184655152
481	0.4181321389
482	0.41782882
483	0.4173808932
484	0.4171025074
485	0.4166358738
486	0.4161733947
487	0.4158561441
488	0.4153894787
489	0.4150649337
490	0.4145488261
491	0.4142067981
492	0.4139267836
493	0.4135459452
494	0.4133563019
495	0.4130562137
496	0.41276252
497	0.4123627851
498	0.4119674732
499	0.4117351526
